Itrs,Loss,Overall_Acc,Mean_IoU
1,3.345760,,
2,2.977537,,
3,2.851518,,
4,2.630308,,
5,2.137810,,
6,2.006680,,
7,1.442568,,
8,1.424409,,
9,0.887095,,
10,1.068907,,
11,1.084331,,
12,1.125134,,
13,1.421605,,
14,1.555229,,
15,1.020071,,
16,1.036727,,
17,1.067811,,
18,0.800405,,
19,0.964147,,
20,1.097142,,
21,0.831320,,
22,1.377775,,
23,0.869163,,
24,0.766459,,
25,0.989570,,
26,0.871998,,
27,0.754213,,
28,1.170750,,
29,0.838356,,
30,0.893156,,
31,0.951873,,
32,0.584744,,
33,0.821793,,
34,1.014388,,
35,0.477447,,
36,0.685753,,
37,0.674539,,
38,0.614141,,
39,0.428889,,
40,1.001776,,
41,0.996405,,
42,0.943761,,
43,1.011752,,
44,1.273576,,
45,0.435054,,
46,0.681872,,
47,0.469283,,
