Itrs,Loss,Overall_Acc,Mean_IoU
1,3.495901,,
2,3.142587,,
3,2.907025,,
4,2.147740,,
5,1.587890,,
6,1.670437,,
7,1.109536,,
8,1.129716,,
9,0.841072,,
10,0.959496,,
11,1.205318,,
12,1.029640,,
13,1.149909,,
14,1.239052,,
15,1.340964,,
16,0.727791,,
17,1.169999,,
18,1.254030,,
19,0.898156,,
20,0.893615,,
21,0.830953,,
22,0.910460,,
23,0.555035,,
24,0.697039,,
25,0.609254,,
26,0.561165,,
27,0.965730,,
28,0.931580,,
29,0.661882,,
30,0.900085,,
31,0.765646,,
32,0.717661,,
33,0.963248,,
34,1.080641,,
35,1.048311,,
36,0.541058,,
37,0.596825,,
38,0.644900,,
39,0.780295,,
40,0.584353,,
41,0.962019,,
42,0.466119,,
43,0.516179,,
44,0.546239,,
45,0.596788,,
46,0.545058,,
47,0.473545,,
48,1.025830,,
49,1.127761,,
50,0.276401,,
51,0.510662,,
52,0.398290,,
53,0.473377,,
54,0.553419,,
55,0.880507,,
56,0.564902,,
57,0.358182,,
58,0.571668,,
59,0.861034,,
60,0.571631,,
61,0.448716,,
62,0.514535,,
63,0.725833,,
64,0.698815,,
65,1.625640,,
66,0.573598,,
67,0.479459,,
68,0.296620,,
69,0.473339,,
70,0.521927,,
71,0.418804,,
72,0.499112,,
73,0.430851,,
74,0.452840,,
75,0.562823,,
76,0.746946,,
77,0.612157,,
78,0.796405,,
79,0.492467,,
80,0.365833,,
81,0.863862,,
82,0.582387,,
83,0.525387,,
84,0.639273,,
85,0.713139,,
86,0.557594,,
87,0.512174,,
88,0.441804,,
89,0.426049,,
90,0.661324,,
91,0.466787,,
92,0.443557,,
93,0.611579,,
94,0.325664,,
95,0.391973,,
96,0.303131,,
97,0.339625,,
98,0.210531,,
99,0.469883,,
100,0.745311,0.828901,0.351467
101,0.400828,,
102,0.358928,,
103,0.395619,,
104,0.616860,,
105,0.389095,,
106,0.313637,,
107,0.621036,,
108,0.322591,,
109,0.341568,,
110,0.368355,,
111,0.368008,,
112,0.440312,,
113,0.398377,,
114,0.526449,,
115,0.772298,,
116,0.352515,,
117,0.537121,,
118,0.311854,,
119,0.370489,,
120,0.314725,,
121,0.497656,,
122,0.614367,,
123,0.872131,,
124,0.594185,,
125,0.388249,,
126,0.337107,,
127,0.431559,,
128,0.428288,,
129,0.530695,,
130,0.355644,,
131,0.518096,,
132,0.281815,,
133,0.377763,,
134,0.444416,,
135,0.386666,,
136,0.281302,,
137,0.500698,,
138,0.375827,,
139,0.429723,,
140,0.554032,,
141,0.421929,,
142,0.506596,,
143,0.479006,,
144,0.400172,,
145,0.533841,,
146,0.327903,,
147,0.295612,,
148,0.316779,,
149,0.322991,,
150,0.341095,,
151,0.630386,,
152,0.449170,,
153,0.336827,,
154,0.253043,,
155,0.455257,,
156,0.306669,,
157,0.361828,,
158,0.429779,,
159,0.691463,,
160,0.264276,,
161,0.394272,,
162,0.451807,,
163,0.506047,,
164,0.405982,,
165,0.215738,,
166,0.271147,,
167,0.350862,,
168,0.528497,,
169,0.530131,,
170,0.397425,,
171,0.596648,,
172,0.332660,,
173,0.630606,,
174,0.207075,,
175,0.554673,,
176,0.618855,,
177,0.331669,,
178,0.633365,,
179,0.396200,,
180,0.299588,,
181,0.521827,,
182,0.249994,,
183,0.420324,,
184,0.369334,,
185,0.334448,,
186,0.348956,,
187,0.360739,,
188,0.327787,,
189,0.305546,,
190,0.458667,,
191,0.413157,,
192,0.467980,,
193,0.342561,,
194,0.306770,,
195,0.436548,,
196,0.252662,,
197,0.425798,,
198,0.311197,,
199,0.538749,,
200,0.412788,0.861482,0.511421
201,0.538811,,
202,0.327973,,
203,0.448718,,
204,0.463408,,
205,0.314467,,
206,0.475398,,
207,0.495970,,
208,0.300274,,
209,0.453890,,
210,0.315161,,
211,0.380310,,
212,0.396500,,
213,0.315440,,
214,0.248145,,
215,0.418468,,
216,0.638511,,
217,0.390355,,
218,0.396580,,
219,0.326852,,
220,0.367704,,
221,0.264927,,
222,0.361540,,
223,0.266363,,
224,0.306770,,
225,0.569738,,
226,0.441453,,
227,0.339525,,
228,0.347974,,
229,0.484726,,
230,0.389858,,
231,0.340704,,
232,0.221555,,
233,0.410576,,
234,0.406596,,
235,0.319309,,
236,0.412003,,
237,0.365748,,
238,0.321536,,
239,0.486762,,
240,0.287205,,
241,0.369513,,
242,0.400199,,
243,0.326784,,
244,0.304810,,
245,0.381463,,
246,0.330656,,
247,0.322578,,
248,0.350459,,
249,0.463023,,
250,0.397107,,
251,0.413664,,
252,0.264003,,
253,0.457848,,
254,0.459882,,
255,0.361486,,
256,0.225661,,
257,0.464672,,
258,0.272280,,
259,0.503968,,
260,0.566170,,
261,0.530459,,
262,0.413270,,
263,0.613049,,
264,0.399109,,
265,0.316607,,
266,0.188831,,
267,0.389390,,
268,0.199309,,
269,0.378405,,
270,0.411537,,
271,0.279459,,
272,0.492602,,
273,0.381396,,
274,0.440806,,
275,0.245465,,
276,0.309489,,
277,0.373839,,
278,0.474413,,
279,0.583308,,
280,0.282299,,
281,0.232256,,
282,0.337308,,
283,0.197094,,
284,0.466439,,
285,0.327973,,
286,0.261974,,
287,0.283751,,
288,0.364095,,
289,0.285435,,
290,0.317370,,
291,0.358966,,
292,0.485199,,
293,0.532837,,
294,0.272720,,
295,0.206581,,
296,0.312866,,
297,0.315095,,
298,0.257443,,
299,0.396115,,
300,0.386789,0.882162,0.567793
301,0.244750,,
302,0.430085,,
303,0.252676,,
304,0.408202,,
305,0.279357,,
306,0.271516,,
307,0.506421,,
308,0.238949,,
309,0.302890,,
310,0.436660,,
311,0.345880,,
312,0.412870,,
313,0.295658,,
314,0.403060,,
315,0.302161,,
316,0.281439,,
317,0.362414,,
318,0.438384,,
319,0.361219,,
320,0.235199,,
321,0.414492,,
322,0.266332,,
323,0.389724,,
324,0.221685,,
325,0.383108,,
326,0.276482,,
327,0.292098,,
328,0.450769,,
329,0.334273,,
330,0.438512,,
331,0.387623,,
332,0.330284,,
333,0.247411,,
334,0.254692,,
335,0.316031,,
336,0.802748,,
337,0.371960,,
338,0.411080,,
339,0.419074,,
340,0.278594,,
341,0.386879,,
342,0.270038,,
343,0.347123,,
344,0.295177,,
345,0.399879,,
346,0.363692,,
347,0.210807,,
348,0.334316,,
349,0.395499,,
350,0.409939,,
351,0.395066,,
352,0.618566,,
353,0.476600,,
354,0.242648,,
355,0.262363,,
356,0.333182,,
357,0.273353,,
358,0.315992,,
359,0.259474,,
360,0.357674,,
361,0.234783,,
362,0.278231,,
363,0.314921,,
364,0.282720,,
365,0.317395,,
366,0.400951,,
367,0.419639,,
368,0.257972,,
369,0.297975,,
370,0.291283,,
371,0.269760,,
372,0.498237,,
373,0.183033,,
374,0.508537,,
375,0.475860,,
376,0.330393,,
377,0.521845,,
378,0.264589,,
379,0.346909,,
380,0.332944,,
381,0.224594,,
382,0.386022,,
383,0.255260,,
384,0.372922,,
385,0.368867,,
386,0.384452,,
387,0.384542,,
388,0.245715,,
389,0.417778,,
390,0.264178,,
391,0.401541,,
392,0.562742,,
393,0.237024,,
394,0.246329,,
395,0.221929,,
396,0.476273,,
397,0.299417,,
398,0.276440,,
399,0.402432,,
400,0.296721,0.887308,0.599118
401,0.306023,,
402,0.243249,,
403,0.189393,,
404,0.230619,,
405,0.391749,,
406,0.432504,,
407,0.488358,,
408,0.373031,,
409,0.470874,,
410,0.281438,,
411,0.428093,,
412,0.303847,,
413,0.344996,,
414,0.272270,,
415,0.289521,,
416,0.342295,,
417,0.236309,,
418,0.497857,,
419,0.469008,,
420,0.362946,,
421,0.642306,,
422,0.370874,,
423,0.367882,,
424,0.379025,,
425,0.510145,,
426,0.656927,,
427,0.374526,,
428,0.414136,,
429,0.300980,,
430,0.239475,,
431,0.368579,,
432,0.278746,,
433,0.248386,,
434,0.241376,,
435,0.353268,,
436,0.339435,,
437,0.305352,,
438,0.381048,,
439,0.173316,,
440,0.239883,,
441,0.196970,,
442,0.226625,,
443,0.470525,,
444,0.266778,,
445,0.299446,,
446,0.269481,,
447,0.649655,,
448,0.452515,,
449,0.291645,,
